,IL3A26,IL3A34,TL3A5,TL3A24,TD1A7,TL3A11,TL3A28,TL3A31,TL3A34,A096,A106,A113,A129,A194,A214,A222,A228,A253,A274,A286,A314,A320,A336,A386,A474,A489,A510,A526,A530,A532,A541,A543,A562,A582,A593,A599,A604,A830,A846,A847,A1011,A1041,A1042,A1082,A1106,A1114,A1116,A1117,A1124,A1126,A1133,A1892
1968,,,,,,,,,,,,,,,,,,,,,,,,0.691688,,,,,,,,,,0.15343125,,,,,,,,,,0.023333333,,0.723666667,,,0.71,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,0.45410525,,,,,,,,,,0.3753675,,,,,,,,,,0.009,,0.333333333,,,0.397,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,0.549088,,,,,,,,,,0.654058,,,,,,,,,,0.020333333,,0.301,,,0.48325,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,0.65267325,,,,,,,,,,0.99109025,,,,,,,,,,0.075333333,,0.324333333,,,0.623,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,0.89392375,,,,,,,,,0.321632,1.048833,,,,,,,,,,0.089333333,,0.276666667,,,0.62975,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,0.9032965,,,,,,,,0.705864,0.3530115,0.97577975,,,,,,,,,,0.046,,0.199666667,,0.905333333,0.64425,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,0.52616675,,,0.3778735,,,,,0.80691825,0.15644925,0.49273375,,,,,,,,,,0.025333333,,0.008,,0.400166667,0.3735,,,
1975,,,,,,,,,,,,,,,,,,,0.459013,,,,,0.93947225,,,0.1699575,,,,,0.2970735,0.163512,0.720395,,,,,,,,,,0.064,,0.335,,0.727833333,0.63,,,
1976,,,,,,,,,,,,,,,,,,,0.74963025,,,,,0.8673505,,,0.09662175,,,,,0.56015225,0.17333225,0.6598965,,,,,,,,,,0.031333333,,0.125333333,,0.411,0.32125,,,
1977,,,,,,,,,,,,,,,,,,,0.5251612,,,,,0.54238475,,,0.0855225,,,,,0.43860475,0.10038375,0.31581975,,,,,,,,,,0.008,,0.103,,0.740166667,0.309,,0.289,
1978,,,,,,,,,,,,,,0.47968375,,,0.15613625,,0.6116942,,0.485357,,,0.57774575,,,0.08816875,,,,,0.4843265,0.08023475,0.320416,,,,,0.203778,,,,,0.049,,0.035,,0.803166667,0.50375,,0.457,
1979,,,,,,,,,,,,,,1.0520955,,,0.54446,,0.517222,,1.36262875,,,1.018439,,,0.09522075,,,,,1.12630825,0.06064475,0.357238,,,,,0.25073175,,,,,0.030666667,,0.017333333,,0.652666667,0.5685,,0.6695,
1980,,,,,,,,,,,,,,0.7582945,,,0.43738875,,0.473106,,0.396471,,,0.7433655,,,0.074199,,,,,0.77565225,0.079394,0.33438075,,,,,0.29949975,0.1223585,,,,0.102666667,,0.065666667,,0.635833333,0.33675,,0.52025,
1981,,,,,,,,,,,,,,0.551109,,,0.2043175,,0.4594836,,0.9190405,,,0.43216325,,,0.072067,,,,,1.11594675,0.001,0.24104425,,,,,0.21567375,0.238607,,,,0.036666667,,0.053666667,,0.2695,0.196,,0.4715,
1982,,,,,,,,,,,,,,1.05820875,,,1.00808475,,0.9679518,,1.01569775,,,0.6840355,,,0.17619175,,,,,1.17169225,0.05812575,0.39804875,,,,,0.451191,0.55187975,,,,0.126333333,,0.127,,0.516,0.496,,0.716,
1983,,,,,,,,,,,,,,0.72471525,,,0.945934,,0.8788758,,0.62341,,,0.815141,,,0.07932975,0.60014325,,0.387224,,0.9984905,0.06451375,0.34987075,,,,,0.35131375,0.2673175,,,,0.110333333,,0.231666667,,0.325166667,0.6245,,0.43775,
1984,,,,,,,,,,,,,,0.45381125,,,0.59874675,,0.911909,,0.65383975,,,0.650736,,,0.15538975,0.73017275,0.13044,0.55091525,,0.71719975,0.05707825,0.21703275,,0.46237225,,,0.46722325,0.24148,,,,0.077333333,,0.124333333,,0.2975,0.48175,,0.5885,
1985,,0.1745,,,,,,,,,,,,0.336932,,,0.35775025,,0.674075,,0.53331725,,,0.36372775,,,0.121026,0.32408875,0.168677,0.267852,,0.48694325,0.01864175,0.11065225,,0.6475665,,,0.23503775,0.242425,,,,0.049333333,,0.032333333,,0.190333333,0.30975,,0.405,
1986,,0.64425,,,,,,,,,,,,0.36987,,,0.38131125,,0.653844,,0.53579325,,,0.4640115,,,0.155335,0.546263,0.2069345,0.32623675,,0.6282835,0.09835025,0.10044425,,0.68875775,,,0.22509775,0.261119,,,,0.078,,0.050333333,,0.185666667,0.35625,,0.34975,
1987,,0.4005,,,,,,,,,,,,0.241195,,,0.59686225,,0.6065176,,0.5219565,,,0.587613,,,0.18722575,0.7602985,0.1341525,0.27615525,0.40211675,0.6540425,0.30408675,0.176701,,0.4798895,0.21768975,0.351053,0.21109425,0.2393485,,0.085,,0.180666667,,0.065333333,,0.288166667,0.25575,0.3085,0.36875,
1988,,0.7545,,,,,,,,,,,,0.3755635,1.259487,0.85668525,1.01019775,,0.5257688,,0.563221,,,0.64157725,0.72193675,,0.229565,1.2102575,0.50656125,0.571906,0.54940375,0.62261625,0.3284325,0.200724,,0.47119375,0.64123225,0.65273125,0.34759125,0.250631,,0.80975,,0.306333333,0.3305,0.061666667,,0.395166667,0.237,0.5175,0.31575,
1989,,0.5245,,,,,,,,,,,,0.3966255,1.1946145,1.29381,1.64595825,,0.5223598,,0.62358125,,,0.52414875,1.35830325,,0.178443,1.45809625,0.4102415,0.5684325,0.563203,0.8052725,0.23053725,0.272221,,0.59219525,1.032226,0.79546375,0.29823225,0.2501765,,0.52275,0.24,0.283666667,0.33275,0.109,,0.3365,0.28625,0.431,0.244,
1990,,0.59425,,,,,,,,,,,,0.39031425,1.014939,1.4355105,1.80149375,,0.5786384,,0.60699575,,,0.40581075,1.69980475,0.3076155,0.24140325,1.02222975,0.62270075,0.60985425,0.33763625,0.797557,0.3201975,0.19853125,,0.82854275,1.2734055,0.66753975,0.43530925,0.388799,,0.4775,0.40275,0.241,0.35525,0.171333333,0.25825,0.372166667,0.36975,0.7105,0.36725,
1991,0.747,0.4545,,,,,,,,,,,,0.13208675,0.16984425,0.40192875,0.566312,,0.3213102,,0.29437975,,,0.186903,1.04759875,0.75540625,0.1477065,0.31947025,0.27367775,0.331343,0.16243225,0.36820325,0.1116225,0.0457435,,0.38222275,1.291232,0.1145225,0.23428325,0.14527525,,0.14375,0.1645,0.035333333,0.31925,0.072,0.17225,0.164,0.07625,0.199,0.33625,
1992,1.37,0.463,,,,,,,,,,,,0.40504575,0.52058725,1.035172,1.56208325,,0.421333,,0.7252815,,,0.269069,1.73653525,1.11831175,0.36972175,0.60843225,0.47939325,0.47133575,0.388707,0.719608,0.3010855,0.1203905,,0.54606375,1.1842825,0.5857855,0.41936925,0.50780025,,0.43025,0.299,0.094666667,0.57825,0.042333333,0.35825,0.261333333,0.28275,0.451,0.4465,
1993,1.287,0.43925,,,,,,,,,,,,0.17348,0.723257,1.09752575,0.668986,,0.3277044,,0.55003225,,,0.37199575,1.72615875,1.08277825,0.396078,0.5416645,0.720237,0.582438,0.447679,0.3850025,0.314476,0.11358025,,0.636041,1.09369625,0.56971975,0.259682,0.24642775,,0.1175,0.1975,0.189666667,0.63825,0.063,0.45125,0.316,0.349,0.7415,0.31675,
1994,1.248,0.3935,,,,,,,,,,,,0.19997725,1.1053915,1.30745225,0.88237525,0.98929275,0.4010338,,0.60122525,,,0.47044075,1.34157975,0.7863565,0.5975555,0.5644725,0.48422925,0.55708575,0.485009,0.42369475,0.30674125,0.19849075,,0.71943125,1.5004535,1.045334,0.25223425,0.453918,,0.16275,0.34175,0.308,0.33575,0.034333333,1.31025,0.253333333,0.11525,0.531,0.177,
1995,0.954,0.31125,,,,,,,,,,,,0.37027575,1.06808575,1.4536405,0.79920675,1.176132,0.3216436,0.60804125,0.6779915,,,0.4306175,1.1590755,0.74867975,0.4486075,0.63240175,0.3721385,0.465965,0.61544175,0.39262175,0.18841,0.19068275,,0.6480345,1.47717925,0.9895375,0.41713375,0.75994675,,0.2555,0.388,0.123,0.4645,0.175,0.987,0.226166667,0.19225,0.5715,0.192,
1996,0.918,0.31825,,,,,,,,1.78700575,,,,0.461132,1.116072,1.408987,0.6816465,1.05120775,0.3852764,1.20802325,0.71389375,,,0.452435,0.92279975,0.53885625,0.59688975,0.80110175,0.286649,0.5360885,0.6705075,0.5572145,0.19172225,0.16337025,,0.555329,1.50631,0.80211175,0.48692475,0.44141475,,0.20325,0.451,0.072333333,0.5525,0.171333333,0.87975,0.2745,0.24475,0.4295,0.22225,0.32575
1997,0.7285,0.29,,,,,,,,1.7088275,,,,0.36418,1.3261245,1.7484465,0.752189,0.5807315,0.3571398,1.2073615,0.741724,,,0.32569875,0.38784725,0.29820175,0.5193725,0.49137575,0.26787125,0.4443425,0.413882,0.492449,0.122632,0.12033075,,0.72095175,1.390509,0.582948,0.381782,0.36975875,,0.1285,0.26725,0.051,0.3545,0.057333333,0.4855,0.333,0.23175,0.239,0.27275,0.20975
1998,1.209,0.2495,,,,,,,,1.65260475,,,,0.389634,1.661207,1.769738,0.5629145,0.92531125,0.4494686,1.063598,0.6420245,,,0.548612,0.928663,0.87310275,0.71141025,0.3311755,0.68931325,0.32795925,0.4715665,0.39921325,0.1376155,0.09023475,,0.54182775,1.2694145,0.8763815,0.4376505,0.41746875,,0.3215,0.684,0.090333333,0.2855,0.173333333,0.66075,0.549833333,0.25525,0.4745,0.24375,0.757
1999,0.4165,0.36475,,,,,,,,1.1541875,,,,0.16346625,1.0201585,1.0362705,0.53517925,0.54348225,0.267372,0.48666225,0.563601,,,0.40152025,0.82384425,0.79460475,0.6343365,0.509634,0.32453325,0.4310555,0.28443875,0.2765305,0.134346,0.03605,,0.3980875,1.15040725,0.64036675,0.414512,0.45368525,,0.2205,0.60375,0.120333333,0.3655,0.266,0.581,0.5725,0.32875,0.36,0.1515,0.855
2000,0.148,0.334,,,,,,,,0.8453785,,,,0.1127595,1.41793625,1.33060075,0.39428825,0.6342815,0.396587,0.7001555,0.79563925,,,0.5619975,1.030552,0.81863975,0.64651575,0.78475875,0.50588825,0.54372175,0.51014025,0.332394,0.12366925,0.10530475,,0.43362075,1.667551,0.5686315,0.372601,0.42501025,,0.1915,0.48175,0.028,0.3355,0.23,0.586,0.530333333,0.2905,0.267,0.21475,0.472
2001,0.243,0.146,,,,,,,,0.53990275,,,,0.06670275,0.6254405,0.443036,0.3212775,0.3283005,0.2289516,0.5771285,0.72187375,,,0.236823,0.7356255,0.16866125,0.37461225,0.233082,0.2915165,0.298556,0.197511,0.17997175,0.1031825,0.13391025,,0.27786325,0.8186745,0.20975625,0.2095975,0.112162,,0.062,0.28475,0.017333333,0.18225,0.042333333,0.258,0.2305,0.10425,0.0615,0.07275,0.401
2002,0.5585,0.28525,,,,,,,,0.68391125,,,,0.113104,1.042732,0.7700565,0.43187,0.3962715,0.2699734,0.5481285,0.54854625,,,0.37219425,1.32930075,0.47741375,0.750452,0.3061915,0.372749,0.33287975,0.3145895,0.3525505,0.17599875,0.1311325,,0.278709,0.881282,0.4710915,0.28375825,0.409159,,0.14025,0.2335,0.126,0.438,0.190333333,0.48925,0.282,0.0505,0.1125,0.158,0.70275
2003,0.4405,0.32825,,,,,,,0.24275,0.54270075,,,,0.1657495,1.17510525,0.60538775,0.37597375,0.45715275,0.3482912,0.5518335,0.85940025,,,0.2458295,1.2772005,0.789637,0.7462155,0.21727525,0.27585025,0.28625375,0.45339675,0.3373105,0.2530115,0.14397325,,0.30977325,0.8944755,0.58460675,0.28339025,0.4401535,,0.14925,0.407,0.109666667,0.3875,0.179333333,0.34275,0.215166667,0.09925,0.2065,0.162,0.71275
2004,0.4015,0.4195,,,,,0.60575,,0.9445,0.874881,,,1.325011,0.49124275,1.68938025,1.20476225,0.389642,0.83038875,0.5212394,0.749306,0.882495,,,0.37074175,1.04822175,1.089871,0.77450825,0.24844925,0.5655205,0.357556,0.35127175,0.3536795,0.4085855,0.2385755,0.3990615,0.46549775,1.34620175,0.745172,0.44594275,0.56765325,0.40175,0.23925,0.8705,0.157,0.89175,0.406333333,0.47975,0.233333333,0.207,0.4085,0.31,0.83775
2005,0.231,0.21475,,,,0.186949,0.41325,,0.3805,0.875966,,,0.75905825,0.13596625,0.80831975,0.462827,0.2491635,0.49533225,0.3360126,0.4120465,0.26077925,,,0.2452415,0.547258,0.438828,0.173273,0.001,0.19270625,0.13621725,0.09331375,0.16910725,0.035822,0.11033375,0.53765725,0.2196865,0.14643025,0.18038425,0.30655725,0.097335,0.1645,0.13,0.31,0.001,0.31275,0.105,0.103,0.063,0.039,0.062,0.0255,0.22675
2006,0.3,0.569,,,,0.45785975,0.88075,,1.19625,0.969478,,,2.65606325,0.63504425,1.66552575,1.17528225,0.81003775,1.08324575,0.6675328,0.8853295,1.08817025,,,0.560131,1.9922365,1.10800025,0.85775525,0.28382325,0.3332955,0.30492125,0.463778,0.488583,0.391112,0.21380775,1.515461,0.3288065,1.39188025,0.4329425,0.436624,0.342187,0.338,0.50925,0.655,0.156333333,0.6115,0.239666667,0.33275,0.225666667,0.15475,0.2905,0.19575,0.57725
2007,0.369,0.59725,,,0.89834375,1.04177275,0.806,,1.125,0.6930975,,0.78775,2.4347975,0.3449,0.92636125,0.37215175,0.4467915,0.531236,0.771794,0.87971075,0.68054675,,,0.288532,0.984945,1.1147565,0.52192375,0.07093675,0.34399475,0.36981525,0.43198775,0.28029275,0.338681,0.30715625,1.49075625,0.27828875,1.06767525,0.2622825,0.257398,0.215383,0.1495,0.76025,0.70925,0.193,0.442,0.312,0.35925,0.498333333,0.216,0.321,0.0395,0.47975
2008,0.584,0.5035,,,1.30332025,0.442358,0.447,0.68425,0.85575,0.88260425,0.68003475,1.33125,2.1064665,0.23560625,1.18355825,0.92470325,0.801366,0.420384,0.759519,0.82074525,0.68757625,,,0.248884,1.10790975,1.2397075,0.9102055,0.3447815,0.41917225,0.41421875,0.32501075,0.206115,0.21904175,0.42410475,1.68268,0.22636025,0.992428,0.22737575,0.1801425,0.1962615,1.27975,0.567,0.54025,0.249666667,0.5505,0.432333333,0.601,0.511666667,0.17375,0.228,0.0255,0.2935
2009,0.001,0.152,,,1.25840025,0.2265065,0.38225,0.23625,0.47525,0.65363,0.654817,1.48675,1.05704775,0.2298375,0.64385625,0.8014845,0.5270695,0.313444,0.385376,0.3860025,0.55154575,,,0.344837,0.26137825,0.27770825,0.31548325,0.05994475,0.1381165,0.10156275,0.06145925,0.20890725,0.001,0.1969275,0.28843375,0.13018675,0.16703525,0.001,0.09509325,0.001,0.83525,0.16075,0.2885,0.001,0.272,0.227333333,0.24975,0.2355,0.0675,0.022,0.001,0.188
2010,0.4245,0.227,,,2.19698025,0.367331,1.52,0.79675,0.797,0.67144975,1.7780275,1.88325,2.450204,0.337809,1.279891,0.80672525,0.6044075,0.496388,0.3541,0.5048335,0.86165075,,,0.39712725,1.0057235,0.9965105,0.61557575,0.1289515,0.22332375,0.21179375,0.1662105,0.35393675,0.38827675,0.42336725,1.54895075,0.24013525,0.93729575,0.08031275,0.17573875,0.2377035,2.164,0.41825,0.41875,0.276666667,0.5335,0.294,0.40975,0.738833333,0.06925,0.115,0.06675,0.33975
2011,0.5065,0.3295,1.6325,,1.95736075,0.620707,0.95675,0.5255,1.25975,1.01554525,2.0704875,1.378,1.522072,0.72140475,1.2414885,1.18241225,0.961846,0.59121575,0.6288612,0.705401,0.86543925,,,0.27646825,1.107732,0.78113325,1.130595,0.11778025,0.4062805,0.3823415,0.46863975,0.353235,0.7995305,0.827769,1.58977875,0.183145,0.754875,0.173679,0.28566475,0.31411275,1.7505,0.414,0.67825,0.341666667,1.0165,0.606,0.496,0.865333333,0.19725,0.087,0.109,0.3805
2012,0.6705,0.38825,2.33525,1.364867,2.22838375,1.08537025,0.57825,0.50525,1.70925,0.9209545,2.553382,1.67075,1.521135,0.719012,1.07045525,1.37209575,1.1681155,0.72191975,0.9582134,1.049867,0.522702,0.58551475,0.44210075,0.345332,1.14876625,0.7623685,1.56008875,0.21833825,0.6142235,0.45265625,0.53126825,0.31837525,0.635138,1.4494375,1.797978,0.36316325,0.86225825,0.24678025,0.267179,0.2230785,2.1965,0.178,0.51075,0.433333333,0.7075,0.818333333,0.59825,0.901166667,0.37475,0.089,0.073,0.44525
2013,0.2885,0.5795,1.383,0.922112,2.118316,0.767584,0.5415,0.405,1.41875,0.68071525,1.07687425,1.6825,0.56071825,0.5756,0.7773225,0.9959655,0.924992,0.5612285,0.6028206,0.696899,0.1463685,0.47474125,0.46520775,0.240706,0.9307185,0.78507825,0.7536255,0.3998165,0.54754725,0.4097275,0.379291,0.212692,0.3985345,0.76979075,0.958172,0.27105725,0.7510895,0.22503175,0.28952825,0.28621025,0.33475,0.19575,0.444,0.339,0.38675,0.784666667,0.43475,0.682333333,0.33425,0.1825,0.078,0.441
2014,0.167,0.561,0.96075,1.07665175,1.2865455,0.5860065,0.473,0.28525,0.89225,0.706378,1.55396225,1.246,0.76251,0.4282835,0.75245075,0.64128925,0.93609775,0.47626775,0.6641888,0.9927845,0.5892855,0.5418515,0.55260325,0.4178315,0.939724,0.85560675,0.963631,0.54294225,0.365417,0.1763565,0.23654075,0.1855685,0.41033375,0.51533025,0.6633485,0.193084,0.326615,0.108078,0.28622625,0.1968765,0.91675,0.07125,0.3715,0.088333333,0.371,0.125333333,0.30925,0.732833333,0.30825,0.1585,0.001,0.2295
2015,0.0735,0.4935,1.03375,1.39710275,1.62069375,0.79793325,0.387,0.36675,0.58875,0.72639125,1.1493475,1.5495,0.430151,0.2471335,0.7021255,0.92626525,0.61494525,0.423705,0.5129676,0.60473525,0.6207475,0.801147,0.77466075,0.18500825,1.0708045,0.73329825,0.80638475,0.31735525,0.22427,0.16196775,0.27461675,0.29361825,0.59297525,1.04419925,1.67163125,0.22673525,0.5228255,0.2666235,0.46307875,0.2506895,0.12125,0.3065,0.483,0.299,0.32525,0.147,0.2235,0.8675,0.42075,0.346,0.01775,0.2405
2016,0.1285,0.6995,0.78375,1.24499075,1.500313,1.32510325,0.50675,0.609,0.82375,1.04306575,1.51944475,1.3405,0.772288,0.47148425,0.765183,0.84570725,0.64862725,0.625452,0.421121,0.54961275,0.56873125,0.9932815,1.010074,0.0307835,0.67193325,0.6076405,1.430711,0.42676925,0.231533,0.23711225,0.3757285,0.47780525,0.5757825,0.9661455,1.02548425,0.2511275,0.25850275,0.280667,0.5148975,0.1600035,0.90925,0.2635,0.55775,0.339,0.36875,0.337,0.286,1.013,0.63925,0.4525,0.08775,0.61825
2017,0.1385,0.73275,0.65625,1.12444,2.108751,1.368509,0.51725,0.7255,0.9475,1.097834,1.83281425,2.75775,0.79219175,0.5730525,0.84389725,1.08814825,0.54813625,0.77830125,0.3918624,0.4938445,0.4621525,1.9766895,1.8320985,0.001,0.47353575,0.640513,1.581041,0.49964525,0.27586525,0.2863815,0.4454655,0.5680795,0.81717675,0.44964725,0.85052025,0.30705675,0.22404475,0.39155475,0.7589725,0.2086035,0.9795,0.41225,0.52975,0.271666667,0.5565,0.974333333,0.4145,0.944666667,0.7195,0.295,0.23325,0.672
2018,0.0495,0.622,0.468,0.88152525,1.3727315,1.39020425,0.30175,0.3975,0.575,0.964523,1.28376375,1.13,0.001,0.3985405,0.8451965,0.78159075,0.38436425,0.36369025,0.2863346,0.50080725,0.267395,1.77670075,1.68437575,0.13484125,0.36199225,0.66307925,1.51531875,0.1471445,0.17567225,0.1376685,0.2295545,0.4009035,0.601994,0.21729525,0.641006,0.22340925,0.2174305,0.24769575,0.588122,0.091874,0.74975,0.21525,0.3785,0.227666667,0.31425,0.777333333,0.41175,0.831,0.7655,0.3025,0.111,0.2055
2019,0.026,0.23675,0.16675,0.642206,1.13328875,0.99824125,0.168,0.5225,0.243,0.91444775,0.96783825,1.1325,0.001,0.283374,0.70659775,0.35770175,0.50829925,0.368004,0.305684,0.33362875,0.37962825,1.82255175,1.75076875,0.099533,0.432677,0.615132,0.9387175,0.001,0.0645855,0.08301025,0.001,0.3455345,0.40993225,0.0529165,0.43878975,0.067744,0.11423225,0.226505,0.42131825,0.06106475,0.7095,0.3155,0.445,0.102666667,0.192,0.6,0.27925,0.715,0.4055,0.086,0.041,0.138
2020,0.01,0.2605,0.3675,0.77681575,1.26979275,1.0133725,0.37275,0.89375,0.4555,1.031821,1.16892975,0.894,0.00522225,0.29552875,0.700959,0.40710225,0.25705975,0.26839525,0.1677464,0.245642,0.55781125,2.12808125,2.082347,0.18065475,0.2455805,0.4072785,1.298542,0.18399725,0.16449725,0.2147645,0.2819805,0.39629275,0.60439075,0.0656015,0.64537775,0.06715875,0.08210675,0.39038775,0.365792,0.001,0.54675,0.33425,0.57925,0.010333333,0.0935,0.398333333,0.223,0.553166667,0.1995,0.1075,0.12375,0.43
