year,ID41W11,IL1W8,IL1W12,IL1W21,IL1W25,IL1W28,IL3W20,IL3W38,IL3W49,IL12W10,TL1W7,TL1W8,TL1W19,TL3W19,TL3W42,W010,W045,W050,W053,W068,W072,W073,W090,W092,W225,RW240,W264,W265,W326,W348,W354,W356,W381,W397,W407,W409,W413,W425,W431,W441,W448,W453,W478,W497,W628,W634,W658,W666,W668,W683,W709,W724,W732,W781,W783,W818,W823,W1030,W1031,W1032,W1043,W1081,W1112,W1113,W1118,W1119,W1120,W1121,W1122,W1123,W1131,W1132,W1134
2003,0,0,,FEW,,0,0,,pFEW,,,,,,0,0,,,FEW,0,,,0,0,0,,FEW,pFEW,0,0,pFEW,pFEW,pFEW,0,,,,pFEW,,,0,0,0,0,,0,0,0,0,,pFEW,0,pFEW,,0,0,,pFEW,pFEW,0,0,0,,0,0,,0,,,,0,0,0
2002,"FLW,pBLW",0,,"FEW,FLW",,0,0,,"pFEW,pFLW",,,,,,0,0,,,"FEW, FLW",0,,,0,0,0,,"FEW, FLW",pFLW,pBLW,pBLW,pFLW,pFLW,pFLW,0,,,,"pFLW, pFEW",,,0,0,0,pBLW,,pFLW,FLW,0,0,,"pFEW,pFLW",pLLW,"pFEW, pFLW",,0,0,,pFLW,"pFEW,pFLW",0,0,0,,0,0,,0,,,,,0,0
2001,0,0,,FLW,,0,0,,pFLW,,,,,,0,0,,,FLW,0,,,0,0,0,,"FLW, pBLW",pFLW,0,0,,,0,0,,,,pFLW,,,,0,0,0,,pBLW,pFLW,0,0,,pFLW,0,pFLW,,0,0,,0,FLW,0,0,0,,0,0,,0,,,,,0,0
2000,,0,,0,,0,0,,0,,,,,,0,BLW,,,0,0,,,0,0,0,,0,0,0,0,,,pBLW,pBLW,,,,0,,,,0,0,BLW,,,0,0,0,,0,pBLW,pLLW,,0,0,,0,"pFLW,BLW",FLW,0,0,,0,0,,pBLW,,,,,0,pLLW
1999,,0,,0,,0,,,0,,,,,,0,pBLW,,,0,0,,,0,0,0,,pFLW,pFLW,0,0,,,0,0,,,,0,,,,0,0,0,,,0,pBLW,0,,pFLW,0,0,,0,0,,0,0,0,0,0,,0,0,,0,,,,,0,0
1998,,0,,0,,0,,,0,,,,,,0,0,,,0,0,,,0,0,0,,0,0,0,0,,,0,0,,,,0,,,,0,0,0,,,,0,0,,0,0,0,,0,0,,0,0,0,0,0,,0,0,,0,,,,,0,0
1997,,0,,,,0,,,0,,,,,,0,pDLW,,,0,0,,,0,0,0,,0,0,0,0,,,0,0,,,,pFLW,,,,0,0,0,,,,0,0,,0,0,0,,pFEW,0,,0,0,0,0,0,,0,0,,0,,,,,0,0
1996,,0,,,,0,,,0,,,,,,0,0,,,0,0,,,0,0,0,,pFLW,pFLW,pBLW,pBLW,,,0,pBLW,,,,,,,,0,0,BLW,,,,0,0,,,"pBLW, pFLW",0,,"FLW, BLW",0,,pFLW,pFLW,pFLW,0,0,,0,0,,0,,,,,BLW,BLW
1995,,0,,,,0,,,0,,,,,,0,,,,0,0,,,0,0,0,,0,0,pFEW,0,,,0,0,,,,,,,,0,0,0,,,,0,0,,,0,0,,0,0,,0,0,0,0,0,,0,0,,,,,,,,0
1994,,0,,,,0,,,0,,,,,,0,,,,0,0,,,0,0,0,,0,0,0,0,,,0,0,,,,,,,,0,0,0,,,,0,0,,,0,0,,0,0,,0,0,,,0,,0,0,,,,,,,,0
1993,,0,,,,0,,,0,,,,,,0,,,,0,0,,,0,0,0,,0,pFEW,0,0,,,0,0,,,,,,,,0,0,0,,,,0,0,,,0,0,,0,0,,0,,,,0,,0,,,,,,,,,0
1992,,0,,,,0,,,0,,,,,,,,,,0,0,,,pFLW,0,0,,pFLW,pFLW,0,,,,0,0,,,,,,,,0,0,0,,,,0,0,,,FLW,0,,,0,,0,,,,0,,0,,,,,,,,,0
1991,,0,,,,0,,,0,,,,,,,,,,0,,,,0,0,0,,,0,0,,,,0,0,,,,,,,,0,0,0,,,,0,0,,,0,0,,,0,,,,,,0,,0,,,,,,,,,0
1990,,0,,,,0,,,0,,,,,,,,,,0,,,,0,0,0,,,,0,,,,0,0,,,,,,,,0,0,0,,,,0,0,,,0,0,,,0,,,,,,0,,0,,,,,,,,,
1989,,0,,,,0,,,0,,,,,,,,,,,,,,0,0,,,,,0,,,,0,0,,,,,,,,0,0,0,,,,0,0,,,0,0,,,pFLW,,,,,,0,,0,,,,,,,,,
1988,,0,,,,,,,0,,,,,,,,,,,,,,0,0,,,,,FEW,,,,0,0,,,,,,,,0,0,0,,,,0,,,,0,pFLW,,,0,,,,,,0,,0,,,,,,,,,
1987,,0,,,,,,,0,,,,,,,,,,,,,,0,0,,,,,0,,,,0,0,,,,,,,,0,0,0,,,,0,,,,0,,,,0,,,,,,0,,0,,,,,,,,,
1986,,0,,,,,,,0,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,0,0,0,,,,,,,,0,,,,0,,,,,,0,,0,,,,,,,,,
1985,,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,,,0,0,0,,,,,,,,pFLW,,,,0,,,,,,0,,0,,,,,,,,,
1984,,FLW,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,FLW,0,,,,,,,,0,0,0,,,,,,,,pFLW,,,,pFLW,,,,,,0,,0,,,,,,,,,
1983,,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,,,0,0,0,,,,,,,,0,,,,0,,,,,,0,,0,,,,,,,,,
1982,,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,0,pBLW,,,,,,,,0,,,,,,,,,,0,,0,,,,,,,,,
1981,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,pBLW,,,,,,,,0,,,,,,,,,,0,,0,,,,,,,,,
1980,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,pBLW,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,
1979,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,
1978,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,BLW,,,,,,,,,,,,,,,,,,pBLW,,0,,,,,,,,,
1977,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,
1976,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,
1975,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,pBLW,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"BLW, FLW",,,,,,,,,,,,,,,,,,BLW,,0,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,pBLW,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"pBEW, pBLW",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,pFEW,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,pFLW,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
